group_id,type,input_text,target_text,facts,masked_rules,question,missing_rule
5e73e5fa-9fbe-488c-8361-2811abcdbc9d,stage1_generative_cold_rough,"Given the following information:

Facts: Anne is yellow or red

Rules:
- If someone is yellow then they are cold.
- If someone is red then they are cold.
- If someone is not young then they are not rough.
- If someone is young then they are cold.
- If someone is young then they are nice.

Question: Q1: Anne is cold.

One critical rule is missing from the rules above. Based on the facts and question, what is the missing rule?

Missing rule:",If someone is cold then they are rough.,Anne is yellow or red,If someone is yellow then they are cold. | If someone is red then they are cold. | If someone is not young then they are not rough. | If someone is young then they are cold. | If someone is young then they are nice.,Q1: Anne is cold.,If someone is cold then they are rough.
47f64651-b8a3-428f-a44c-2a4f751efd68,stage1_generative_young_cold,"Given the following information:

Facts: Anne is yellow or red

Rules:
- If someone is yellow then they are cold.
- If someone is red then they are cold.
- If someone is cold then they are rough.
- If someone is not young then they are not rough.
- If someone is young then they are nice.

Question: Q1: Anne is cold.

One critical rule is missing from the rules above. Based on the facts and question, what is the missing rule?

Missing rule:",If someone is young then they are cold.,Anne is yellow or red,If someone is yellow then they are cold. | If someone is red then they are cold. | If someone is cold then they are rough. | If someone is not young then they are not rough. | If someone is young then they are nice.,Q1: Anne is cold.,If someone is young then they are cold.
5c9dbd8f-5078-483c-b899-a491dae6349d,stage1_generative_contrapositive,"Given the following information:

Facts: Anne is yellow or red

Rules:
- If someone is yellow then they are cold.
- If someone is red then they are cold.
- If someone is cold then they are rough.
- If someone is young then they are cold.
- If someone is young then they are nice.

Question: Q1: Anne is cold.

One critical rule is missing from the rules above. Based on the facts and question, what is the missing rule?

Missing rule:",If someone is not young then they are not rough.,Anne is yellow or red,If someone is yellow then they are cold. | If someone is red then they are cold. | If someone is cold then they are rough. | If someone is young then they are cold. | If someone is young then they are nice.,Q1: Anne is cold.,If someone is not young then they are not rough.
f821ed1e-2eca-4f74-a7f4-a912a463375c,stage1_generative_cold_rough,"Given the following information:

Facts: Anne is blue or yellow

Rules:
- If someone is blue then they are cold.
- If someone is yellow then they are cold.
- If someone is not young then they are not rough.
- If someone is young then they are cold.
- If someone is young then they are nice.

Question: Q1: Anne is cold.

One critical rule is missing from the rules above. Based on the facts and question, what is the missing rule?

Missing rule:",If someone is cold then they are rough.,Anne is blue or yellow,If someone is blue then they are cold. | If someone is yellow then they are cold. | If someone is not young then they are not rough. | If someone is young then they are cold. | If someone is young then they are nice.,Q1: Anne is cold.,If someone is cold then they are rough.
00330d89-1bf5-4059-9971-6b27cdd4a01d,stage1_generative_young_cold,"Given the following information:

Facts: Anne is blue or yellow

Rules:
- If someone is blue then they are cold.
- If someone is yellow then they are cold.
- If someone is cold then they are rough.
- If someone is not young then they are not rough.
- If someone is young then they are nice.

Question: Q1: Anne is cold.

One critical rule is missing from the rules above. Based on the facts and question, what is the missing rule?

Missing rule:",If someone is young then they are cold.,Anne is blue or yellow,If someone is blue then they are cold. | If someone is yellow then they are cold. | If someone is cold then they are rough. | If someone is not young then they are not rough. | If someone is young then they are nice.,Q1: Anne is cold.,If someone is young then they are cold.
35327999-9a48-4eec-9e00-1c4ba7b35722,stage1_generative_contrapositive,"Given the following information:

Facts: Anne is blue or yellow

Rules:
- If someone is blue then they are cold.
- If someone is yellow then they are cold.
- If someone is cold then they are rough.
- If someone is young then they are cold.
- If someone is young then they are nice.

Question: Q1: Anne is cold.

One critical rule is missing from the rules above. Based on the facts and question, what is the missing rule?

Missing rule:",If someone is not young then they are not rough.,Anne is blue or yellow,If someone is blue then they are cold. | If someone is yellow then they are cold. | If someone is cold then they are rough. | If someone is young then they are cold. | If someone is young then they are nice.,Q1: Anne is cold.,If someone is not young then they are not rough.
70336de8-ccec-4638-adba-19f219335c81,stage1_generative_cold_rough,"Given the following information:

Facts: David is green or red

Rules:
- If someone is green then they are cold.
- If someone is red then they are cold.
- If someone is not young then they are not rough.
- If someone is young then they are cold.
- If someone is young then they are nice.

Question: Q1: David is cold.

One critical rule is missing from the rules above. Based on the facts and question, what is the missing rule?

Missing rule:",If someone is cold then they are rough.,David is green or red,If someone is green then they are cold. | If someone is red then they are cold. | If someone is not young then they are not rough. | If someone is young then they are cold. | If someone is young then they are nice.,Q1: David is cold.,If someone is cold then they are rough.
8152a1f6-0387-4e1d-a4c4-136305f50ad8,stage1_generative_young_cold,"Given the following information:

Facts: David is green or red

Rules:
- If someone is green then they are cold.
- If someone is red then they are cold.
- If someone is cold then they are rough.
- If someone is not young then they are not rough.
- If someone is young then they are nice.

Question: Q1: David is cold.

One critical rule is missing from the rules above. Based on the facts and question, what is the missing rule?

Missing rule:",If someone is young then they are cold.,David is green or red,If someone is green then they are cold. | If someone is red then they are cold. | If someone is cold then they are rough. | If someone is not young then they are not rough. | If someone is young then they are nice.,Q1: David is cold.,If someone is young then they are cold.
59ec95d7-b36c-4571-b036-efaff7385631,stage1_generative_contrapositive,"Given the following information:

Facts: David is green or red

Rules:
- If someone is green then they are cold.
- If someone is red then they are cold.
- If someone is cold then they are rough.
- If someone is young then they are cold.
- If someone is young then they are nice.

Question: Q1: David is cold.

One critical rule is missing from the rules above. Based on the facts and question, what is the missing rule?

Missing rule:",If someone is not young then they are not rough.,David is green or red,If someone is green then they are cold. | If someone is red then they are cold. | If someone is cold then they are rough. | If someone is young then they are cold. | If someone is young then they are nice.,Q1: David is cold.,If someone is not young then they are not rough.
1cb112d7-ee17-413b-a51b-2b022a4e47c3,stage1_generative_cold_rough,"Given the following information:

Facts: Helen is blue or red

Rules:
- If someone is blue then they are cold.
- If someone is red then they are cold.
- If someone is not young then they are not rough.
- If someone is young then they are cold.
- If someone is young then they are nice.

Question: Q1: Helen is cold.

One critical rule is missing from the rules above. Based on the facts and question, what is the missing rule?

Missing rule:",If someone is cold then they are rough.,Helen is blue or red,If someone is blue then they are cold. | If someone is red then they are cold. | If someone is not young then they are not rough. | If someone is young then they are cold. | If someone is young then they are nice.,Q1: Helen is cold.,If someone is cold then they are rough.
