group_id,type,context,candidate_0,candidate_1,candidate_2,candidate_3,correct_answer,facts,masked_rules,question,missing_rule
2b6a239c-3348-44d6-8284-05d55a6037d0,stage1_bert_cold_rough,Facts: Anne is yellow or red Rules: If someone is yellow then they are cold. | If someone is red then they are cold. | If someone is not young then they are not rough. | If someone is young then they are cold. | If someone is young then they are nice. Question: Q1: Anne is cold.,If someone is red then they are cold.,If someone is yellow then they are cold.,If someone is cold then they are nice.,If someone is cold then they are rough.,3,Anne is yellow or red,If someone is yellow then they are cold. | If someone is red then they are cold. | If someone is not young then they are not rough. | If someone is young then they are cold. | If someone is young then they are nice.,Q1: Anne is cold.,If someone is cold then they are rough.
c703c808-d2c5-4b9b-8b7d-82bebf49427f,stage1_bert_young_cold,Facts: Anne is yellow or red Rules: If someone is yellow then they are cold. | If someone is red then they are cold. | If someone is cold then they are rough. | If someone is not young then they are not rough. | If someone is young then they are nice. Question: Q1: Anne is cold.,If someone is young then they are rough.,If someone is red then they are cold.,If someone is young then they are cold.,If someone is yellow then they are cold.,2,Anne is yellow or red,If someone is yellow then they are cold. | If someone is red then they are cold. | If someone is cold then they are rough. | If someone is not young then they are not rough. | If someone is young then they are nice.,Q1: Anne is cold.,If someone is young then they are cold.
3e2169a6-b654-4b3f-a9aa-0b4a37b9bbc7,stage1_bert_contrapositive,Facts: Anne is yellow or red Rules: If someone is yellow then they are cold. | If someone is red then they are cold. | If someone is cold then they are rough. | If someone is young then they are cold. | If someone is young then they are nice. Question: Q1: Anne is cold.,If someone is yellow then they are cold.,If someone is happy then they are sad.,If someone is red then they are cold.,If someone is not young then they are not rough.,3,Anne is yellow or red,If someone is yellow then they are cold. | If someone is red then they are cold. | If someone is cold then they are rough. | If someone is young then they are cold. | If someone is young then they are nice.,Q1: Anne is cold.,If someone is not young then they are not rough.
821940ff-34b3-4cf8-87a4-2ae201d55a35,stage1_bert_cold_rough,Facts: Anne is blue or yellow Rules: If someone is blue then they are cold. | If someone is yellow then they are cold. | If someone is not young then they are not rough. | If someone is young then they are cold. | If someone is young then they are nice. Question: Q1: Anne is cold.,If someone is blue then they are cold.,If someone is yellow then they are cold.,If someone is cold then they are rough.,If someone is cold then they are nice.,2,Anne is blue or yellow,If someone is blue then they are cold. | If someone is yellow then they are cold. | If someone is not young then they are not rough. | If someone is young then they are cold. | If someone is young then they are nice.,Q1: Anne is cold.,If someone is cold then they are rough.
26a02846-91eb-4d33-bba5-f36459871192,stage1_bert_young_cold,Facts: Anne is blue or yellow Rules: If someone is blue then they are cold. | If someone is yellow then they are cold. | If someone is cold then they are rough. | If someone is not young then they are not rough. | If someone is young then they are nice. Question: Q1: Anne is cold.,If someone is blue then they are cold.,If someone is yellow then they are cold.,If someone is young then they are rough.,If someone is young then they are cold.,3,Anne is blue or yellow,If someone is blue then they are cold. | If someone is yellow then they are cold. | If someone is cold then they are rough. | If someone is not young then they are not rough. | If someone is young then they are nice.,Q1: Anne is cold.,If someone is young then they are cold.
5ee85758-f513-4868-92f5-7c91fc881009,stage1_bert_contrapositive,Facts: Anne is blue or yellow Rules: If someone is blue then they are cold. | If someone is yellow then they are cold. | If someone is cold then they are rough. | If someone is young then they are cold. | If someone is young then they are nice. Question: Q1: Anne is cold.,If someone is blue then they are cold.,If someone is happy then they are sad.,If someone is yellow then they are cold.,If someone is not young then they are not rough.,3,Anne is blue or yellow,If someone is blue then they are cold. | If someone is yellow then they are cold. | If someone is cold then they are rough. | If someone is young then they are cold. | If someone is young then they are nice.,Q1: Anne is cold.,If someone is not young then they are not rough.
704e598e-6631-4fa1-9287-a1792585bb25,stage1_bert_cold_rough,Facts: David is green or red Rules: If someone is green then they are cold. | If someone is red then they are cold. | If someone is not young then they are not rough. | If someone is young then they are cold. | If someone is young then they are nice. Question: Q1: David is cold.,If someone is red then they are cold.,If someone is green then they are cold.,If someone is cold then they are rough.,If someone is cold then they are nice.,2,David is green or red,If someone is green then they are cold. | If someone is red then they are cold. | If someone is not young then they are not rough. | If someone is young then they are cold. | If someone is young then they are nice.,Q1: David is cold.,If someone is cold then they are rough.
2b93c893-b39c-42c4-8c25-f3def67cb7a4,stage1_bert_young_cold,Facts: David is green or red Rules: If someone is green then they are cold. | If someone is red then they are cold. | If someone is cold then they are rough. | If someone is not young then they are not rough. | If someone is young then they are nice. Question: Q1: David is cold.,If someone is green then they are cold.,If someone is young then they are rough.,If someone is young then they are cold.,If someone is red then they are cold.,2,David is green or red,If someone is green then they are cold. | If someone is red then they are cold. | If someone is cold then they are rough. | If someone is not young then they are not rough. | If someone is young then they are nice.,Q1: David is cold.,If someone is young then they are cold.
06e1d434-2aef-4053-b6f9-e7a191b0256c,stage1_bert_contrapositive,Facts: David is green or red Rules: If someone is green then they are cold. | If someone is red then they are cold. | If someone is cold then they are rough. | If someone is young then they are cold. | If someone is young then they are nice. Question: Q1: David is cold.,If someone is not young then they are not rough.,If someone is red then they are cold.,If someone is green then they are cold.,If someone is happy then they are sad.,0,David is green or red,If someone is green then they are cold. | If someone is red then they are cold. | If someone is cold then they are rough. | If someone is young then they are cold. | If someone is young then they are nice.,Q1: David is cold.,If someone is not young then they are not rough.
114fb60a-7804-4117-81d2-ee7741e185ce,stage1_bert_cold_rough,Facts: Helen is blue or red Rules: If someone is blue then they are cold. | If someone is red then they are cold. | If someone is not young then they are not rough. | If someone is young then they are cold. | If someone is young then they are nice. Question: Q1: Helen is cold.,If someone is red then they are cold.,If someone is cold then they are nice.,If someone is cold then they are rough.,If someone is blue then they are cold.,2,Helen is blue or red,If someone is blue then they are cold. | If someone is red then they are cold. | If someone is not young then they are not rough. | If someone is young then they are cold. | If someone is young then they are nice.,Q1: Helen is cold.,If someone is cold then they are rough.
