split,accuracy,delta_vs_base,correct,total
base,0.6132692307692308,0.0,3189,5200
hard_mixed,0.48954166666666665,-0.12372756410256414,11749,24000
variant1,0.232375,-0.3808942307692308,1859,8000
variant2,0.522875,-0.09039423076923081,4183,8000
variant3,0.694125,0.0808557692307692,5553,8000
variant4_equiv_contrapositive,0.26125,-0.3520192307692308,2090,8000
variant4_equiv_double_negation,0.2415,-0.3717692307692308,1932,8000
variant4_equiv_implication,0.243875,-0.3693942307692308,1951,8000
variant4_equiv_demorgan,0.200875,-0.41239423076923076,1607,8000
variant4_equiv_identity,0.26175,-0.3515192307692308,2094,8000
variant4_equiv_commutativity,0.31425,-0.2990192307692308,2514,8000
variant4_equiv_multi,0.17075,-0.4425192307692308,1366,8000
