input_text,target_text
"Facts: Bob is green or yellow
Rules: If someone is green then they are cold. | If someone is yellow then they are cold. | If someone is cold then they are rough. | If someone is not young then they are not rough. | If someone is young then they are cold. | If someone is young then they are nice.
Question: Q1: Bob is not cold.",False
"Facts: Bob is green or yellow
Rules: If someone is green then they are cold. | If someone is yellow then they are cold. | If someone is cold then they are rough. | If someone is not young then they are not rough. | If someone is young then they are cold. | If someone is young then they are nice.
Question: Q2: Bob is not rough.",False
"Facts: Bob is green or yellow
Rules: If someone is green then they are cold. | If someone is yellow then they are cold. | If someone is cold then they are rough. | If someone is not young then they are not rough. | If someone is young then they are cold. | If someone is young then they are nice.
Question: Q3: Bob is tall.",False
"Facts: Bob is green or yellow
Rules: If someone is green then they are cold. | If someone is yellow then they are cold. | If someone is cold then they are rough. | If someone is not young then they are not rough. | If someone is young then they are cold. | If someone is young then they are nice.
Question: Q4: Bob is red.",False
"Facts: Bob is green or yellow
Rules: If someone is green then they are cold. | If someone is yellow then they are cold. | If someone is cold then they are rough. | If someone is not young then they are not rough. | If someone is young then they are cold. | If someone is young then they are nice.
Question: Q1: Bob is not cold.
Think step by step.","Reasoning: Step 1: Verify facts. Facts are consistent. No contradictions detected. Step 2: Apply rules. Rules imply Bob follows the target logical chain. Therefore, Q1: Bob is not cold. is F Answer: False"
"Facts: Bob is green or yellow
Rules: If someone is green then they are cold. | If someone is yellow then they are cold. | If someone is cold then they are rough. | If someone is not young then they are not rough. | If someone is young then they are cold. | If someone is young then they are nice.
Question: Q2: Bob is not rough.
Think step by step.","Reasoning: Step 1: Verify facts. Facts are consistent. No contradictions detected. Step 2: Apply rules. Rules imply Bob follows the target logical chain. Therefore, Q2: Bob is not rough. is F Answer: False"
"Facts: Bob is green or yellow
Rules: If someone is green then they are cold. | If someone is yellow then they are cold. | If someone is cold then they are rough. | If someone is not young then they are not rough. | If someone is young then they are cold. | If someone is young then they are nice.
Question: Q3: Bob is tall.
Think step by step.","Reasoning: Step 1: Verify facts. Facts are consistent. No contradictions detected. Step 2: Apply rules. Rules imply Bob follows the target logical chain. Therefore, Q3: Bob is tall. is F Answer: False"
"Facts: Bob is green or yellow
Rules: If someone is green then they are cold. | If someone is yellow then they are cold. | If someone is cold then they are rough. | If someone is not young then they are not rough. | If someone is young then they are cold. | If someone is young then they are nice.
Question: Q4: Bob is red.
Think step by step.","Reasoning: Step 1: Verify facts. Facts are consistent. No contradictions detected. Step 2: Apply rules. Rules imply Bob follows the target logical chain. Therefore, Q4: Bob is red. is F Answer: False"
"Facts: Helen is blue or red
Rules: If someone is blue then they are cold. | If someone is red then they are cold. | If someone is cold then they are rough. | If someone is not young then they are not rough. | If someone is young then they are cold. | If someone is young then they are nice.
Question: Q1: Helen is cold.",True
"Facts: Helen is blue or red
Rules: If someone is blue then they are cold. | If someone is red then they are cold. | If someone is cold then they are rough. | If someone is not young then they are not rough. | If someone is young then they are cold. | If someone is young then they are nice.
Question: Q2: Helen is rough.",True
"Facts: Helen is blue or red
Rules: If someone is blue then they are cold. | If someone is red then they are cold. | If someone is cold then they are rough. | If someone is not young then they are not rough. | If someone is young then they are cold. | If someone is young then they are nice.
Question: Q3: Helen is young.",True
"Facts: Helen is blue or red
Rules: If someone is blue then they are cold. | If someone is red then they are cold. | If someone is cold then they are rough. | If someone is not young then they are not rough. | If someone is young then they are cold. | If someone is young then they are nice.
Question: Q4: Helen is nice.",True
