Model,Split,Accuracy,Correct,Total,Prediction_File
bert_stage2,variant4_equiv_double_negation,1.0,400,400,trained_models/bert_stage2/predictions/bert_variant4_equiv_double_negation_predictions.csv
bert_stage2,variant3,0.0,0,400,trained_models/bert_stage2/predictions/bert_variant3_predictions.csv
bert_stage2,variant4_equiv_commutativity,1.0,400,400,trained_models/bert_stage2/predictions/bert_variant4_equiv_commutativity_predictions.csv
bert_stage2,variant4_equiv_contrapositive,1.0,400,400,trained_models/bert_stage2/predictions/bert_variant4_equiv_contrapositive_predictions.csv
bert_stage2,variant4_equiv_implication,1.0,400,400,trained_models/bert_stage2/predictions/bert_variant4_equiv_implication_predictions.csv
bert_stage2,variant2,0.25,100,400,trained_models/bert_stage2/predictions/bert_variant2_predictions.csv
bert_stage2,variant4_equiv_identity,1.0,400,400,trained_models/bert_stage2/predictions/bert_variant4_equiv_identity_predictions.csv
bert_stage2,variant4_equiv_multi,1.0,400,400,trained_models/bert_stage2/predictions/bert_variant4_equiv_multi_predictions.csv
bert_stage2,variant4_equiv_demorgan,1.0,400,400,trained_models/bert_stage2/predictions/bert_variant4_equiv_demorgan_predictions.csv
bert_stage2,variant1,1.0,400,400,trained_models/bert_stage2/predictions/bert_variant1_predictions.csv
bert_stage2,base,1.0,80,80,trained_models/bert_stage2/predictions/bert_base_predictions.csv
qwen,variant4_equiv_demorgan,1.0,400,400,trained_models/qwen/predictions/qwen_variant4_equiv_demorgan_predictions.csv
qwen,variant4_equiv_identity,1.0,400,400,trained_models/qwen/predictions/qwen_variant4_equiv_identity_predictions.csv
qwen,variant4_equiv_contrapositive,1.0,400,400,trained_models/qwen/predictions/qwen_variant4_equiv_contrapositive_predictions.csv
qwen,variant3,0.0,0,400,trained_models/qwen/predictions/qwen_variant3_predictions.csv
qwen,variant1,1.0,400,400,trained_models/qwen/predictions/qwen_variant1_predictions.csv
qwen,variant4_equiv_multi,0.645,258,400,trained_models/qwen/predictions/qwen_variant4_equiv_multi_predictions.csv
qwen,variant2,0.25,100,400,trained_models/qwen/predictions/qwen_variant2_predictions.csv
qwen,variant4_equiv_commutativity,1.0,400,400,trained_models/qwen/predictions/qwen_variant4_equiv_commutativity_predictions.csv
qwen,variant4_equiv_double_negation,1.0,400,400,trained_models/qwen/predictions/qwen_variant4_equiv_double_negation_predictions.csv
qwen,variant4_equiv_implication,0.9525,381,400,trained_models/qwen/predictions/qwen_variant4_equiv_implication_predictions.csv
qwen,base,1.0,80,80,trained_models/qwen/predictions/qwen_base_predictions.csv
qwen_stage2_mixed_aug,variant4_equiv_demorgan,0.13,52,400,trained_models/qwen_stage2_mixed_aug/predictions/qwen_variant4_equiv_demorgan_predictions.csv
qwen_stage2_mixed_aug,variant4_equiv_identity,0.5175,207,400,trained_models/qwen_stage2_mixed_aug/predictions/qwen_variant4_equiv_identity_predictions.csv
qwen_stage2_mixed_aug,variant4_equiv_contrapositive,0.3175,127,400,trained_models/qwen_stage2_mixed_aug/predictions/qwen_variant4_equiv_contrapositive_predictions.csv
qwen_stage2_mixed_aug,variant3,0.9875,395,400,trained_models/qwen_stage2_mixed_aug/predictions/qwen_variant3_predictions.csv
qwen_stage2_mixed_aug,variant1,0.9075,363,400,trained_models/qwen_stage2_mixed_aug/predictions/qwen_variant1_predictions.csv
qwen_stage2_mixed_aug,variant4_equiv_multi,0.41,164,400,trained_models/qwen_stage2_mixed_aug/predictions/qwen_variant4_equiv_multi_predictions.csv
qwen_stage2_mixed_aug,variant2,0.45,180,400,trained_models/qwen_stage2_mixed_aug/predictions/qwen_variant2_predictions.csv
qwen_stage2_mixed_aug,variant4_equiv_commutativity,0.4475,179,400,trained_models/qwen_stage2_mixed_aug/predictions/qwen_variant4_equiv_commutativity_predictions.csv
qwen_stage2_mixed_aug,variant4_equiv_double_negation,0.46,184,400,trained_models/qwen_stage2_mixed_aug/predictions/qwen_variant4_equiv_double_negation_predictions.csv
qwen_stage2_mixed_aug,variant4_equiv_implication,0.52,208,400,trained_models/qwen_stage2_mixed_aug/predictions/qwen_variant4_equiv_implication_predictions.csv
qwen_stage2_mixed_aug,base,0.4875,39,80,trained_models/qwen_stage2_mixed_aug/predictions/qwen_base_predictions.csv
qwen_stage1_gen,variant4_equiv_contrapositive,0.205,82,400,trained_models/qwen_stage1_gen/predictions/qwen_variant4_equiv_contrapositive_predictions.csv
qwen_stage1_gen,variant3,0.9075,363,400,trained_models/qwen_stage1_gen/predictions/qwen_variant3_predictions.csv
qwen_stage1_gen,variant1,0.185,74,400,trained_models/qwen_stage1_gen/predictions/qwen_variant1_predictions.csv
qwen_stage1_gen,variant2,0.555,222,400,trained_models/qwen_stage1_gen/predictions/qwen_variant2_predictions.csv
qwen_stage1_gen,variant4_equiv_double_negation,0.1075,43,400,trained_models/qwen_stage1_gen/predictions/qwen_variant4_equiv_double_negation_predictions.csv
qwen_stage1_gen,variant4_equiv_implication,0.1825,73,400,trained_models/qwen_stage1_gen/predictions/qwen_variant4_equiv_implication_predictions.csv
qwen_stage1_gen,base,0.175,14,80,trained_models/qwen_stage1_gen/predictions/qwen_base_predictions.csv
llama,variant1,1.0,400,400,trained_models/llama/predictions/llama_variant1_predictions.csv
llama,variant4_equiv_commutativity,1.0,400,400,trained_models/llama/predictions/llama_variant4_equiv_commutativity_predictions.csv
llama,variant4_equiv_contrapositive,1.0,400,400,trained_models/llama/predictions/llama_variant4_equiv_contrapositive_predictions.csv
llama,base,1.0,80,80,trained_models/llama/predictions/llama_base_predictions.csv
llama,variant4_equiv_multi,0.9925,397,400,trained_models/llama/predictions/llama_variant4_equiv_multi_predictions.csv
llama,variant2,0.25,100,400,trained_models/llama/predictions/llama_variant2_predictions.csv
llama,variant4_equiv_implication,1.0,400,400,trained_models/llama/predictions/llama_variant4_equiv_implication_predictions.csv
llama,variant4_equiv_double_negation,1.0,400,400,trained_models/llama/predictions/llama_variant4_equiv_double_negation_predictions.csv
llama,variant4_equiv_demorgan,1.0,400,400,trained_models/llama/predictions/llama_variant4_equiv_demorgan_predictions.csv
llama,variant4_equiv_identity,1.0,400,400,trained_models/llama/predictions/llama_variant4_equiv_identity_predictions.csv
llama,variant3,0.0,0,400,trained_models/llama/predictions/llama_variant3_predictions.csv
llama_stage2_mixed,variant1,0.6925,277,400,trained_models/llama_stage2_mixed/predictions/llama_variant1_predictions.csv
llama_stage2_mixed,variant4_equiv_commutativity,0.8575,343,400,trained_models/llama_stage2_mixed/predictions/llama_variant4_equiv_commutativity_predictions.csv
llama_stage2_mixed,variant4_equiv_contrapositive,0.705,282,400,trained_models/llama_stage2_mixed/predictions/llama_variant4_equiv_contrapositive_predictions.csv
llama_stage2_mixed,base,0.5375,43,80,trained_models/llama_stage2_mixed/predictions/llama_base_predictions.csv
llama_stage2_mixed,variant4_equiv_multi,0.745,298,400,trained_models/llama_stage2_mixed/predictions/llama_variant4_equiv_multi_predictions.csv
llama_stage2_mixed,variant2,0.5325,213,400,trained_models/llama_stage2_mixed/predictions/llama_variant2_predictions.csv
llama_stage2_mixed,variant4_equiv_implication,0.745,298,400,trained_models/llama_stage2_mixed/predictions/llama_variant4_equiv_implication_predictions.csv
llama_stage2_mixed,variant4_equiv_double_negation,0.8025,321,400,trained_models/llama_stage2_mixed/predictions/llama_variant4_equiv_double_negation_predictions.csv
llama_stage2_mixed,variant4_equiv_demorgan,0.91,364,400,trained_models/llama_stage2_mixed/predictions/llama_variant4_equiv_demorgan_predictions.csv
llama_stage2_mixed,variant4_equiv_identity,0.815,326,400,trained_models/llama_stage2_mixed/predictions/llama_variant4_equiv_identity_predictions.csv
llama_stage2_mixed,variant3,0.145,58,400,trained_models/llama_stage2_mixed/predictions/llama_variant3_predictions.csv
qwen_stage2_dpo,variant4_equiv_contrapositive,0.0,0,400,trained_models/qwen_stage2_dpo/predictions/qwen_variant4_equiv_contrapositive_predictions.csv
qwen_stage2_dpo,variant3,1.0,400,400,trained_models/qwen_stage2_dpo/predictions/qwen_variant3_predictions.csv
qwen_stage2_dpo,variant1,0.0,0,400,trained_models/qwen_stage2_dpo/predictions/qwen_variant1_predictions.csv
qwen_stage2_dpo,variant2,0.75,300,400,trained_models/qwen_stage2_dpo/predictions/qwen_variant2_predictions.csv
qwen_stage2_dpo,variant4_equiv_double_negation,0.0,0,400,trained_models/qwen_stage2_dpo/predictions/qwen_variant4_equiv_double_negation_predictions.csv
qwen_stage2_dpo,variant4_equiv_implication,0.0,0,400,trained_models/qwen_stage2_dpo/predictions/qwen_variant4_equiv_implication_predictions.csv
qwen_stage2_dpo,base,0.0,0,80,trained_models/qwen_stage2_dpo/predictions/qwen_base_predictions.csv
qwen_stage2_mixed,variant4_equiv_demorgan,0.1625,65,400,trained_models/qwen_stage2_mixed/predictions/qwen_variant4_equiv_demorgan_predictions.csv
qwen_stage2_mixed,variant4_equiv_identity,0.57,228,400,trained_models/qwen_stage2_mixed/predictions/qwen_variant4_equiv_identity_predictions.csv
qwen_stage2_mixed,variant4_equiv_contrapositive,0.3175,127,400,trained_models/qwen_stage2_mixed/predictions/qwen_variant4_equiv_contrapositive_predictions.csv
qwen_stage2_mixed,variant3,0.9725,389,400,trained_models/qwen_stage2_mixed/predictions/qwen_variant3_predictions.csv
qwen_stage2_mixed,variant1,0.9375,375,400,trained_models/qwen_stage2_mixed/predictions/qwen_variant1_predictions.csv
qwen_stage2_mixed,variant4_equiv_multi,0.4275,171,400,trained_models/qwen_stage2_mixed/predictions/qwen_variant4_equiv_multi_predictions.csv
qwen_stage2_mixed,variant2,0.405,162,400,trained_models/qwen_stage2_mixed/predictions/qwen_variant2_predictions.csv
qwen_stage2_mixed,variant4_equiv_commutativity,0.4975,199,400,trained_models/qwen_stage2_mixed/predictions/qwen_variant4_equiv_commutativity_predictions.csv
qwen_stage2_mixed,variant4_equiv_double_negation,0.545,218,400,trained_models/qwen_stage2_mixed/predictions/qwen_variant4_equiv_double_negation_predictions.csv
qwen_stage2_mixed,variant4_equiv_implication,0.59,236,400,trained_models/qwen_stage2_mixed/predictions/qwen_variant4_equiv_implication_predictions.csv
qwen_stage2_mixed,base,0.525,42,80,trained_models/qwen_stage2_mixed/predictions/qwen_base_predictions.csv
bert,variant4_equiv_double_negation,1.0,400,400,trained_models/bert/predictions/bert_variant4_equiv_double_negation_predictions.csv
bert,variant3,0.0,0,400,trained_models/bert/predictions/bert_variant3_predictions.csv
bert,variant4_equiv_commutativity,0.9925,397,400,trained_models/bert/predictions/bert_variant4_equiv_commutativity_predictions.csv
bert,variant4_equiv_contrapositive,1.0,400,400,trained_models/bert/predictions/bert_variant4_equiv_contrapositive_predictions.csv
bert,variant4_equiv_implication,1.0,400,400,trained_models/bert/predictions/bert_variant4_equiv_implication_predictions.csv
bert,variant2,0.295,118,400,trained_models/bert/predictions/bert_variant2_predictions.csv
bert,variant4_equiv_identity,1.0,400,400,trained_models/bert/predictions/bert_variant4_equiv_identity_predictions.csv
bert,variant4_equiv_multi,1.0,400,400,trained_models/bert/predictions/bert_variant4_equiv_multi_predictions.csv
bert,variant4_equiv_demorgan,1.0,400,400,trained_models/bert/predictions/bert_variant4_equiv_demorgan_predictions.csv
bert,variant1,1.0,400,400,trained_models/bert/predictions/bert_variant1_predictions.csv
bert,base,1.0,80,80,trained_models/bert/predictions/bert_base_predictions.csv
