model,split,accuracy,delta_vs_base,correct,total
BERT-base,base,0.9325,0.0,2238,2400
BERT-base,hard_mixed,0.80685,-0.12565000000000004,16137,20000
BERT-base,variant1,0.25,-0.6825,1000,4000
BERT-base,variant2,0.87925,-0.05325000000000002,3517,4000
BERT-base,variant3,0.921,-0.011499999999999955,3684,4000
BERT-base,variant4_equiv_contrapositive,0.44675,-0.48575,1787,4000
BERT-base,variant4_equiv_double_negation,0.0395,-0.893,158,4000
BERT-base,variant4_equiv_implication,1.0,0.0675,4000,4000
BERT-base,variant4_equiv_demorgan,0.278,-0.6545,1112,4000
BERT-base,variant4_equiv_identity,0.4895,-0.443,1958,4000
BERT-base,variant4_equiv_commutativity,0.45375,-0.47875,1815,4000
BERT-base,variant4_equiv_multi,0.90975,-0.022750000000000048,3639,4000
Qwen2-1.5B,base,1.0,0.0,2400,2400
Qwen2-1.5B,hard_mixed,1.0,0.0,20000,20000
Qwen2-1.5B,variant1,0.999,-0.0010000000000000009,3996,4000
Qwen2-1.5B,variant2,1.0,0.0,4000,4000
Qwen2-1.5B,variant3,1.0,0.0,4000,4000
Qwen2-1.5B,variant4_equiv_contrapositive,0.86675,-0.13324999999999998,3467,4000
Qwen2-1.5B,variant4_equiv_double_negation,0.515,-0.485,2060,4000
Qwen2-1.5B,variant4_equiv_implication,0.85,-0.15000000000000002,3400,4000
Qwen2-1.5B,variant4_equiv_demorgan,0.32675,-0.67325,1307,4000
Qwen2-1.5B,variant4_equiv_identity,1.0,0.0,4000,4000
Qwen2-1.5B,variant4_equiv_commutativity,0.99325,-0.006750000000000034,3973,4000
Qwen2-1.5B,variant4_equiv_multi,0.63525,-0.36475,2541,4000
TinyLlama-1.1B,base,1.0,0.0,2400,2400
TinyLlama-1.1B,hard_mixed,1.0,0.0,20000,20000
TinyLlama-1.1B,variant1,0.98375,-0.016249999999999987,3935,4000
TinyLlama-1.1B,variant2,0.9765,-0.023499999999999965,3906,4000
TinyLlama-1.1B,variant3,0.50475,-0.49524999999999997,2019,4000
TinyLlama-1.1B,variant4_equiv_contrapositive,0.95175,-0.048250000000000015,3807,4000
TinyLlama-1.1B,variant4_equiv_double_negation,1.0,0.0,4000,4000
TinyLlama-1.1B,variant4_equiv_implication,0.94525,-0.054749999999999965,3781,4000
TinyLlama-1.1B,variant4_equiv_demorgan,0.8865,-0.11350000000000005,3546,4000
TinyLlama-1.1B,variant4_equiv_identity,1.0,0.0,4000,4000
TinyLlama-1.1B,variant4_equiv_commutativity,0.9785,-0.021499999999999964,3914,4000
TinyLlama-1.1B,variant4_equiv_multi,0.7735,-0.22650000000000003,3094,4000
