input_text,target_text
"Facts: Frank is green or purple
Rules: If someone is green then they are cold. | If someone is purple then they are cold. | If someone is cold then they are rough. | If someone is not young then they are not rough. | If someone is young then they are cold. | If someone is young then they are nice.
Question: Q1: Frank is cold.
Think step by step.","Reasoning: Fact: Frank is green or purple. By the color rules, Frank is cold. Since cold → rough, Frank is rough. Since rough → young (contrapositive of not-young → not-rough), Frank is young. Since young → nice, Frank is nice. Therefore 'Q1: Frank is cold.' is True. Answer: True"
"Facts: Frank is green or purple
Rules: If someone is green then they are cold. | If someone is purple then they are cold. | If someone is cold then they are rough. | If someone is not young then they are not rough. | If someone is young then they are cold. | If someone is young then they are nice.
Question: Q2: Frank is rough.
Think step by step.","Reasoning: Fact: Frank is green or purple. By the color rules, Frank is cold. Since cold → rough, Frank is rough. Since rough → young (contrapositive of not-young → not-rough), Frank is young. Since young → nice, Frank is nice. Therefore 'Q2: Frank is rough.' is True. Answer: True"
"Facts: Frank is green or purple
Rules: If someone is green then they are cold. | If someone is purple then they are cold. | If someone is cold then they are rough. | If someone is not young then they are not rough. | If someone is young then they are cold. | If someone is young then they are nice.
Question: Q3: Frank is young.
Think step by step.","Reasoning: Fact: Frank is green or purple. By the color rules, Frank is cold. Since cold → rough, Frank is rough. Since rough → young (contrapositive of not-young → not-rough), Frank is young. Since young → nice, Frank is nice. Therefore 'Q3: Frank is young.' is True. Answer: True"
"Facts: Frank is green or purple
Rules: If someone is green then they are cold. | If someone is purple then they are cold. | If someone is cold then they are rough. | If someone is not young then they are not rough. | If someone is young then they are cold. | If someone is young then they are nice.
Question: Q4: Frank is nice.
Think step by step.","Reasoning: Fact: Frank is green or purple. By the color rules, Frank is cold. Since cold → rough, Frank is rough. Since rough → young (contrapositive of not-young → not-rough), Frank is young. Since young → nice, Frank is nice. Therefore 'Q4: Frank is nice.' is True. Answer: True"
"Facts: Frank is green or purple
Rules: If someone is green then they are cold. | If someone is purple then they are cold. | If someone is cold then they are rough. | If someone is not young then they are not rough. | If someone is young then they are cold. | If someone is young then they are nice.
Question: Q1: Frank is not cold.
Think step by step.","Reasoning: Fact: Frank is green or purple. By the color rules, Frank is cold. Since cold → rough, Frank is rough. Since rough → young, Frank is young. Since young → nice, Frank is nice. But we derived cold=True, so 'Q1: Frank is not cold.' is False. Therefore 'Q1: Frank is not cold.' is False. Answer: False"
"Facts: Frank is green or purple
Rules: If someone is green then they are cold. | If someone is purple then they are cold. | If someone is cold then they are rough. | If someone is not young then they are not rough. | If someone is young then they are cold. | If someone is young then they are nice.
Question: Q2: Frank is not rough.
Think step by step.","Reasoning: Fact: Frank is green or purple. By the color rules, Frank is cold. Since cold → rough, Frank is rough. Since rough → young, Frank is young. Since young → nice, Frank is nice. But we derived rough=True, so 'Q2: Frank is not rough.' is False. Therefore 'Q2: Frank is not rough.' is False. Answer: False"
"Facts: Frank is green or purple
Rules: If someone is green then they are cold. | If someone is purple then they are cold. | If someone is cold then they are rough. | If someone is not young then they are not rough. | If someone is young then they are cold. | If someone is young then they are nice.
Question: Q3: Frank is funny.
Think step by step.","Reasoning: Fact: Frank is green or purple. By the color rules, Frank is cold. Since cold → rough, Frank is rough. Since rough → young, Frank is young. Since young → nice, Frank is nice. The property in 'Q3: Frank is funny.' is not derivable from given facts and rules, so it is False. Therefore 'Q3: Frank is funny.' is False. Answer: False"
"Facts: Frank is green or purple
Rules: If someone is green then they are cold. | If someone is purple then they are cold. | If someone is cold then they are rough. | If someone is not young then they are not rough. | If someone is young then they are cold. | If someone is young then they are nice.
Question: Q4: Frank is red.
Think step by step.","Reasoning: Fact: Frank is green or purple. By the color rules, Frank is cold. Since cold → rough, Frank is rough. Since rough → young, Frank is young. Since young → nice, Frank is nice. The property in 'Q4: Frank is red.' is not derivable from given facts and rules, so it is False. Therefore 'Q4: Frank is red.' is False. Answer: False"
"Facts: Frank is green or orange | Frank is young
Rules: If someone is green then they are cold. | If someone is orange then they are cold. | If someone is young then they are cold. | If someone is young then they are nice. | If someone is brave then they are rough.
Question: Q1: Frank is cold.
Think step by step.","Reasoning: Fact: Frank is green or orange | Frank is young. Rules: If someone is green then they are cold. | If someone is orange then they are cold. | If someone is young then they are cold. | If someone is young then they are nice. | If someone is brave then they are rough.. After applying the rules carefully, the answer for 'Q1: Frank is cold.' is True. Answer: True"
"Facts: Frank is green or orange | Frank is young
Rules: If someone is green then they are cold. | If someone is orange then they are cold. | If someone is young then they are cold. | If someone is young then they are nice. | If someone is brave then they are rough.
Question: Q2: Frank is rough.
Think step by step.","Reasoning: Fact: Frank is green or orange | Frank is young. Rules: If someone is green then they are cold. | If someone is orange then they are cold. | If someone is young then they are cold. | If someone is young then they are nice. | If someone is brave then they are rough.. After applying the rules carefully, the answer for 'Q2: Frank is rough.' is False. Answer: False"
