group_id,type,facts,rules,questions,answers,equiv_laws_used
098cd257-9afd-4028-a19d-4d2423d81239,variant2,David is blue or purple,If someone is blue then they are cold. | If someone is purple then they are cold. | If someone is not young then they are not rough. | If someone is young then they are cold. | If someone is young then they are nice.,Q1: David is cold. | Q2: David is rough. | Q3: David is young. | Q4: David is nice.,T | F | F | F,
a3315a89-556b-416a-8ad8-84543ec8b23c,aug_variant2,Emma is red or blue,If someone is red then they are cold. | If someone is blue then they are cold. | If someone is not young then they are not rough. | If someone is young then they are cold. | If someone is young then they are nice.,Q1: Emma is cold. | Q2: Emma is rough. | Q3: Emma is young. | Q4: Emma is nice.,T | F | F | F,
c16e2d95-3083-4eca-96ea-f82341e19930,aug_variant2,Mike is red or blue,If someone is red then they are cold. | If someone is blue then they are cold. | If someone is not young then they are not rough. | If someone is young then they are cold. | If someone is young then they are nice.,Q1: Mike is cold. | Q2: Mike is rough. | Q3: Mike is young. | Q4: Mike is nice.,T | F | F | F,
e9038c3e-45ee-400a-bc65-e8c2410ab530,base_positive,Julia is blue or yellow,If someone is blue then they are cold. | If someone is yellow then they are cold. | If someone is cold then they are rough. | If someone is not young then they are not rough. | If someone is young then they are cold. | If someone is young then they are nice.,Q1: Julia is cold. | Q2: Julia is rough. | Q3: Julia is young. | Q4: Julia is nice.,T | T | T | T,
a2b1c0db-75a3-437c-9a02-213d757126e2,variant2,Mike is orange or purple,If someone is orange then they are cold. | If someone is purple then they are cold. | If someone is not young then they are not rough. | If someone is young then they are cold. | If someone is young then they are nice.,Q1: Mike is cold. | Q2: Mike is rough. | Q3: Mike is young. | Q4: Mike is nice.,T | F | F | F,
0294de3a-80f4-4be6-a2f3-73e6e921dd03,variant3,Oscar is purple or red | Oscar is not cold,If someone is purple then they are cold. | If someone is red then they are cold. | If someone is cold then they are rough. | If someone is not young then they are not rough. | If someone is young then they are cold. | If someone is young then they are nice.,Q1: Oscar is cold. | Q2: Oscar is rough. | Q3: Oscar is young. | Q4: Oscar is nice.,F | F | F | F,
359d09b0-c81c-47ca-a5a2-8d35f88caf94,aug_variant3,Oscar is red or blue | Oscar is not cold or not nice,If someone is red then they are cold. | If someone is blue then they are cold. | If someone is cold then they are rough. | If someone is not young then they are not rough. | If someone is young then they are cold. | If someone is young then they are nice.,Q1: Oscar is cold. | Q2: Oscar is rough. | Q3: Oscar is young. | Q4: Oscar is nice.,F | F | F | F,
4e885205-5f91-412d-9166-17c63ddb32b9,variant2,Ivan is purple or red,If someone is purple then they are cold. | If someone is red then they are cold. | If someone is cold then they are rough. | If someone is young then they are cold. | If someone is young then they are nice.,Q1: Ivan is cold. | Q2: Ivan is rough. | Q3: Ivan is young. | Q4: Ivan is nice.,T | T | F | F,
59e85d40-c5ca-43c4-87b1-a667bb15b34f,variant2,Mike is blue or purple,If someone is blue then they are cold. | If someone is purple then they are cold. | If someone is cold then they are rough. | If someone is young then they are cold. | If someone is young then they are nice.,Q1: Mike is cold. | Q2: Mike is rough. | Q3: Mike is young. | Q4: Mike is nice.,T | T | F | F,
6e9d7bce-c3e4-44dc-a4e3-3688f9f4ac8f,base_positive,Oscar is yellow or red,If someone is yellow then they are cold. | If someone is red then they are cold. | If someone is cold then they are rough. | If someone is not young then they are not rough. | If someone is young then they are cold. | If someone is young then they are nice.,Q1: Oscar is cold. | Q2: Oscar is rough. | Q3: Oscar is young. | Q4: Oscar is nice.,T | T | T | T,
5715829f-0967-47de-bb78-caefe64c41e6,aug_variant2,Claire is yellow or green,If someone is yellow then they are cold. | If someone is green then they are cold. | If someone is not young then they are not rough. | If someone is young then they are cold. | If someone is young then they are nice.,Q1: Claire is cold. | Q2: Claire is rough. | Q3: Claire is young. | Q4: Claire is nice.,T | F | F | F,
eaeef71b-423f-4cbe-8872-1edd7f5992ee,base_negative,Emma is yellow or red,If someone is yellow then they are cold. | If someone is red then they are cold. | If someone is cold then they are rough. | If someone is not young then they are not rough. | If someone is young then they are cold. | If someone is young then they are nice.,Q1: Emma is not cold. | Q2: Emma is not rough. | Q3: Emma is mean. | Q4: Emma is orange.,F | F | F | F,
3d756a24-a974-4dc8-9ac4-835e3b3b196b,base_negative,Ivan is yellow or blue,If someone is yellow then they are cold. | If someone is blue then they are cold. | If someone is cold then they are rough. | If someone is not young then they are not rough. | If someone is young then they are cold. | If someone is young then they are nice.,Q1: Ivan is not cold. | Q2: Ivan is not rough. | Q3: Ivan is tall. | Q4: Ivan is red.,F | F | F | F,
ca3806c2-fe15-42c7-896c-b372e0c31376,aug_variant2,Ivan is green or orange,If someone is green then they are cold. | If someone is orange then they are cold. | If someone is not young then they are not rough. | If someone is young then they are cold. | If someone is young then they are nice.,Q1: Ivan is cold. | Q2: Ivan is rough. | Q3: Ivan is young. | Q4: Ivan is nice.,T | F | F | F,
a2a43372-8a4c-44ef-a7a0-1fd65ae579bf,variant2,Helen is yellow or red,If someone is yellow then they are cold. | If someone is red then they are cold. | If someone is not young then they are not rough. | If someone is young then they are cold. | If someone is young then they are nice.,Q1: Helen is cold. | Q2: Helen is rough. | Q3: Helen is young. | Q4: Helen is nice.,T | F | F | F,
